,SOFT 11,SOFT 16,SOFT 6,SOFT 4,SOFT 4,SOFT 6,SOFT 4,SOFT 0,MEDIUM 12,MEDIUM 0,MEDIUM 0,HARD 15,HARD 0
36,101028.57662337663,103182.47272727275,98874.68051948053,98013.12207792209,98013.12207792209,98874.68051948053,98013.12207792209,96290.00519480521,89220.30466422468,88079.3944810745,88079.3944810745,95225.32770491,91939.3729623338
37,101459.35584415586,103613.25194805195,99305.45974025976,98443.90129870131,98443.90129870131,99305.45974025976,98443.90129870131,96720.78441558444,89315.38051282053,88174.47032967035,88174.47032967035,95444.39135441509,92158.43661183889
38,101890.13506493508,104044.03116883118,99736.23896103898,98874.68051948053,98874.68051948053,99736.23896103898,98874.68051948053,97151.56363636366,89410.45636141638,88269.54617826619,88269.54617826619,95663.45500392016,92377.50026134396
39,102320.9142857143,104474.8103896104,100167.01818181819,99305.45974025976,99305.45974025976,100167.01818181819,99305.45974025976,97582.34285714287,89505.53221001223,88364.62202686204,88364.62202686204,95882.51865342524,92596.56391084904
40,102751.69350649352,104905.58961038962,100597.79740259741,99736.23896103898,99736.23896103898,100597.79740259741,99736.23896103898,98013.12207792209,89600.60805860808,88459.69787545789,88459.69787545789,96101.58230293033,92815.62756035413
41,103182.47272727275,105336.36883116885,101028.57662337663,100167.01818181819,100167.01818181819,101028.57662337663,100167.01818181819,98443.90129870131,89695.68390720393,88554.77372405374,88554.77372405374,96320.6459524354,93034.6912098592
42,103613.25194805195,105767.14805194805,101459.35584415586,100597.79740259741,100597.79740259741,101459.35584415586,100597.79740259741,98874.68051948053,89790.75975579977,88649.84957264959,88649.84957264959,96539.70960194049,93253.75485936429
43,104044.03116883118,106197.92727272728,101890.13506493508,101028.57662337663,101028.57662337663,101890.13506493508,101028.57662337663,99305.45974025976,89885.83560439562,88744.92542124544,88744.92542124544,96758.77325144556,93472.81850886936
44,104474.8103896104,106628.7064935065,102320.9142857143,101459.35584415586,101459.35584415586,102320.9142857143,101459.35584415586,99736.23896103898,89980.91145299147,88840.00126984129,88840.00126984129,96977.83690095064,93691.88215837444
45,104905.58961038962,107059.48571428572,102751.69350649352,101890.13506493508,101890.13506493508,102751.69350649352,101890.13506493508,100167.01818181819,90075.98730158732,88935.07711843714,88935.07711843714,97196.90055045573,93910.94580787953
46,105336.36883116885,107490.26493506494,103182.47272727275,102320.9142857143,102320.9142857143,103182.47272727275,102320.9142857143,100597.79740259741,90171.06315018317,89030.15296703298,89030.15296703298,97415.9641999608,94130.0094573846
47,105767.14805194805,107921.04415584417,103613.25194805195,102751.69350649352,102751.69350649352,103613.25194805195,102751.69350649352,101028.57662337663,90266.13899877902,89125.22881562883,89125.22881562883,97635.02784946589,94349.07310688969
48,106197.92727272728,108351.82337662339,104044.03116883118,103182.47272727275,103182.47272727275,104044.03116883118,103182.47272727275,101459.35584415586,90361.21484737487,89220.30466422468,89220.30466422468,97854.09149897096,94568.13675639476
49,106628.7064935065,108782.60259740261,104474.8103896104,103613.25194805195,103613.25194805195,104474.8103896104,103613.25194805195,101890.13506493508,90456.29069597072,89315.38051282053,89315.38051282053,98073.15514847604,94787.20040589984
50,107059.48571428572,109213.38181818184,104905.58961038962,104044.03116883118,104044.03116883118,104905.58961038962,104044.03116883118,102320.9142857143,90551.36654456655,89410.45636141638,89410.45636141638,98292.21879798113,95006.26405540493
51,107490.26493506494,109644.16103896104,105336.36883116885,104474.8103896104,104474.8103896104,105336.36883116885,104474.8103896104,102751.69350649352,90646.4423931624,89505.53221001223,89505.53221001223,98511.2824474862,95225.32770491
52,107921.04415584417,110074.94025974027,105767.14805194805,104905.58961038962,104905.58961038962,105767.14805194805,104905.58961038962,103182.47272727275,90741.51824175825,89600.60805860808,89600.60805860808,98730.34609699128,95444.39135441509
53,108351.82337662339,110505.71948051949,106197.92727272728,105336.36883116885,105336.36883116885,106197.92727272728,105336.36883116885,103613.25194805195,90836.5940903541,89695.68390720393,89695.68390720393,98949.40974649636,95663.45500392016
54,108782.60259740261,110936.49870129871,106628.7064935065,105767.14805194805,105767.14805194805,106628.7064935065,105767.14805194805,104044.03116883118,90931.66993894996,89790.75975579977,89790.75975579977,99168.47339600144,95882.51865342524
55,109213.38181818184,111367.27792207793,107059.48571428572,106197.92727272728,106197.92727272728,107059.48571428572,106197.92727272728,104474.8103896104,91026.7457875458,89885.83560439562,89885.83560439562,99387.53704550651,96101.58230293033
56,109644.16103896104,111798.05714285714,107490.26493506494,106628.7064935065,106628.7064935065,107490.26493506494,106628.7064935065,104905.58961038962,91121.82163614166,89980.91145299147,89980.91145299147,99606.6006950116,96320.6459524354
57,110074.94025974027,112228.83636363636,107921.04415584417,107059.48571428572,107059.48571428572,107921.04415584417,107059.48571428572,105336.36883116885,91216.8974847375,90075.98730158732,90075.98730158732,99825.66434451668,96539.70960194049
58,110505.71948051949,112659.61558441559,108351.82337662339,107490.26493506494,107490.26493506494,108351.82337662339,107490.26493506494,105767.14805194805,91311.97333333336,90171.06315018317,90171.06315018317,100044.72799402176,96758.77325144556
59,110936.49870129871,113090.39480519481,108782.60259740261,107921.04415584417,107921.04415584417,108782.60259740261,107921.04415584417,106197.92727272728,91407.0491819292,90266.13899877902,90266.13899877902,100263.79164352684,96977.83690095064
60,111367.27792207793,113521.17402597403,109213.38181818184,108351.82337662339,108351.82337662339,109213.38181818184,108351.82337662339,106628.7064935065,91502.12503052504,90361.21484737487,90361.21484737487,100482.85529303193,97196.90055045573
61,111798.05714285714,113951.95324675326,109644.16103896104,108782.60259740261,108782.60259740261,109644.16103896104,108782.60259740261,107059.48571428572,91597.2008791209,90456.29069597072,90456.29069597072,100701.918942537,97415.9641999608
62,112228.83636363636,114382.73246753248,110074.94025974027,109213.38181818184,109213.38181818184,110074.94025974027,109213.38181818184,107490.26493506494,91692.27672771674,90551.36654456655,90551.36654456655,100920.98259204207,97635.02784946589
63,112659.61558441559,114813.5116883117,110505.71948051949,109644.16103896104,109644.16103896104,110505.71948051949,109644.16103896104,107921.04415584417,91787.3525763126,90646.4423931624,90646.4423931624,101140.04624154716,97854.09149897096
64,113090.39480519481,115244.29090909092,110936.49870129871,110074.94025974027,110074.94025974027,110936.49870129871,110074.94025974027,108351.82337662339,91882.42842490844,90741.51824175825,90741.51824175825,101359.10989105224,98073.15514847604
65,113521.17402597403,115675.07012987015,111367.27792207793,110505.71948051949,110505.71948051949,111367.27792207793,110505.71948051949,108782.60259740261,91977.5042735043,90836.5940903541,90836.5940903541,101578.17354055731,98292.21879798113
66,113951.95324675326,116105.84935064935,111798.05714285714,110936.49870129871,110936.49870129871,111798.05714285714,110936.49870129871,109213.38181818184,92072.58012210015,90931.66993894996,90931.66993894996,101797.2371900624,98511.2824474862
67,114382.73246753248,116536.62857142858,112228.83636363636,111367.27792207793,111367.27792207793,112228.83636363636,111367.27792207793,109644.16103896104,92167.65597069598,91026.7457875458,91026.7457875458,102016.30083956747,98730.34609699128
68,114813.5116883117,116967.4077922078,112659.61558441559,111798.05714285714,111798.05714285714,112659.61558441559,111798.05714285714,110074.94025974027,92262.73181929183,91121.82163614166,91121.82163614166,102235.36448907256,98949.40974649636
69,115244.29090909092,117398.18701298701,113090.39480519481,112228.83636363636,112228.83636363636,113090.39480519481,112228.83636363636,110505.71948051949,92357.80766788768,91216.8974847375,91216.8974847375,102454.42813857764,99168.47339600144
