,SOFT 13,SOFT 15,SOFT 10,SOFT 12,SOFT 6,SOFT 4,SOFT 4,SOFT 0,MEDIUM 19,MEDIUM 0,MEDIUM 0,HARD 0,HARD 0
37,91312.65124200817,91625.39990567026,90843.52824651504,91156.27691017713,90218.03091919086,89905.28225552877,89905.28225552877,89279.7849282046,87426.50220588234,86354.87027310923,86354.87027310923,87338.37912087912,87338.37912087912
38,91469.02557383922,91781.7742375013,90999.90257834608,91312.65124200817,90374.4052510219,90061.65658735982,90061.65658735982,89436.15926003564,87482.90388655462,86411.27195378151,86411.27195378151,87387.27472527472,87387.27472527472
39,91625.39990567026,91938.14856933235,91156.27691017713,91469.02557383922,90530.77958285295,90218.03091919086,90218.03091919086,89592.53359186668,87539.30556722688,86467.67363445376,86467.67363445376,87436.17032967032,87436.17032967032
40,91781.7742375013,92094.52290116341,91312.65124200817,91625.39990567026,90687.153914684,90374.4052510219,90374.4052510219,89748.90792369773,87595.70724789915,86524.07531512604,86524.07531512604,87485.06593406593,87485.06593406593
41,91938.14856933235,92250.89723299444,91469.02557383922,91781.7742375013,90843.52824651504,90530.77958285295,90530.77958285295,89905.28225552877,87652.10892857143,86580.47699579832,86580.47699579832,87533.96153846153,87533.96153846153
42,92094.52290116341,92407.2715648255,91625.39990567026,91938.14856933235,90999.90257834608,90687.153914684,90687.153914684,90061.65658735982,87708.51060924369,86636.87867647057,86636.87867647057,87582.85714285714,87582.85714285714
43,92250.89723299444,92563.64589665654,91781.7742375013,92094.52290116341,91156.27691017713,90843.52824651504,90843.52824651504,90218.03091919086,87764.91228991596,86693.28035714285,86693.28035714285,87631.75274725274,87631.75274725274
44,92407.2715648255,92720.02022848758,91938.14856933235,92250.89723299444,91312.65124200817,90999.90257834608,90999.90257834608,90374.4052510219,87821.31397058823,86749.68203781512,86749.68203781512,87680.64835164834,87680.64835164834
45,92563.64589665654,92876.39456031863,92094.52290116341,92407.2715648255,91469.02557383922,91156.27691017713,91156.27691017713,90530.77958285295,87877.71565126049,86806.08371848738,86806.08371848738,87729.54395604396,87729.54395604396
46,92720.02022848758,93032.76889214967,92250.89723299444,92563.64589665654,91625.39990567026,91312.65124200817,91312.65124200817,90687.153914684,87934.11733193276,86862.48539915966,86862.48539915966,87778.43956043955,87778.43956043955
47,92876.39456031863,93189.14322398072,92407.2715648255,92720.02022848758,91781.7742375013,91469.02557383922,91469.02557383922,90843.52824651504,87990.51901260504,86918.88707983193,86918.88707983193,87827.33516483517,87827.33516483517
